slice_id,kind,feature,state,side,folds,walk_forward_pass_pattern,walk_forward_pass_count,fold_mean_rets,fold_sizes,n,mean_ret_costadj,p_value,validated,horizon_bars,stop_atr_mult,hostile_n,hostile_mean_ret,regime_confounded,hostile_unproven,session_asia_n,session_asia_mean_ret_costadj,session_asia_hit_rate,session_eu_n,session_eu_mean_ret_costadj,session_eu_hit_rate,session_us_n,session_us_mean_ret_costadj,session_us_hit_rate
feat_trend_slope_20:2:LONG:h6,SPOT,feat_trend_slope_20,2,LONG,5,00000,0,"-0.001800,-0.000244,-0.001122,-0.000690,-0.002929","837,762,788,1067,521",3977,-0.0012216858124181192,0.002130323282159008,False,6,3.5,129,0.0028243275067471405,False,False,1372,-0.0012939468656214868,0.3622448979591837,1123,-0.0009257718132817625,0.3659839715048976,1482,-0.0013790199932785163,0.3427800269905533
feat_ret_10:0:LONG:h6,SPOT,feat_ret_10,0,LONG,5,00010,1,"-0.002720,-0.001907,-0.002588,0.002686,-0.000261","1193,1147,1327,804,903",5376,-0.0012863413565891264,4.676225184852001e-09,False,6,3.5,2110,2.1998506696120563e-05,False,False,1738,-0.0020400959132480683,0.37744533947065595,1751,-0.00024144546954285223,0.44831524842946885,1887,-0.0015616923257172578,0.39215686274509803
feat_ext_vs_ma_50:2:SHORT:h6,SPOT,feat_ext_vs_ma_50,2,SHORT,5,00001,1,"-0.000170,-0.002206,-0.000703,-0.002761,0.000476","854,718,686,1027,458",3745,-0.0012958918940601664,0.0023738558262733633,False,6,3.5,2254,-0.0014332789119200259,True,False,1156,-0.0014900751008954307,0.4100346020761246,1250,-0.00124269097359723,0.4512,1339,-0.0011779123298160323,0.409260642270351
feat_trend_strength_20:2:LONG:h6,SPOT,feat_trend_strength_20,2,LONG,5,00010,1,"-0.002059,-0.002607,-0.001956,0.001872,-0.001467","1224,1005,1086,834,578",4729,-0.0013874526218532821,0.0006085922005867328,False,6,3.5,1100,-0.0010525885885743164,True,False,1471,-0.0016351731017201045,0.33650577838205303,1622,-0.001169299086207369,0.39519112207151663,1636,-0.00138100287181268,0.3221271393643032
feat_realized_vol_20:2:LONG:h6,SPOT,feat_realized_vol_20,2,LONG,5,00000,0,"-0.000393,-0.000459,-0.002150,-0.001268,-0.002112","709,790,1402,625,593",4122,-0.001393374966679575,0.00036316225739341235,False,6,2.9473684210526283,1080,-0.00042971755275195524,True,False,1513,-0.0007587971425629419,0.3985459352280238,1150,-0.0020591899739227392,0.391304347826087,1459,-0.001526636782689738,0.3570938999314599
feat_realized_vol_20:0:LONG:h6,SPOT,feat_realized_vol_20,0,LONG,5,00000,0,"-0.001609,-0.000910,-0.000965,-0.001070,-0.002291","1671,1357,1034,1428,1601",7096,-0.0014305672214604461,0.01914279895102311,False,6,3.5,2215,-0.0007244883656873165,True,False,2301,-0.0017647199021962104,0.32811820947414166,2537,-0.0007067149344176611,0.40441466298778084,2258,-0.001903343100049708,0.3175376439326838
feat_vol_regime:2:LONG:h6,SPOT,feat_vol_regime,2,LONG,5,01000,1,"-0.000701,0.000644,-0.003664,-0.001979,-0.002141","988,1101,954,715,1002",4763,-0.0014756934838439518,0.00010245867111047247,False,6,3.5,1302,-0.0010585981769765365,True,False,1809,-0.0011356392824117315,0.39358761746821447,1446,-0.0012078521964380157,0.4135546334716459,1508,-0.002140452470568004,0.34549071618037136
feat_ret_10:2:SHORT:h6,SPOT,feat_ret_10,2,SHORT,5,00000,0,"-0.001290,-0.002395,-0.000724,-0.002137,-0.000710","830,835,879,1124,663",4332,-0.001517185910819157,2.0116435406336564e-08,False,6,3.5,1911,-0.0018098391132208302,True,False,1166,-0.0013551873706573623,0.42109777015437394,1446,-0.001834580211761468,0.4107883817427386,1720,-0.0013601732007412907,0.4029069767441861
feat_vol_regime:0:SHORT:h6,SPOT,feat_vol_regime,0,SHORT,5,00000,0,"-0.000577,-0.001821,-0.001212,-0.001702,-0.002535","948,852,1099,883,802",4589,-0.0015211966928618825,2.234301632597635e-11,False,6,3.5,1274,-0.001045559469017947,True,False,1281,-0.00034451023892744474,0.3692427790788447,1775,-0.003040351974265068,0.28507042253521125,1533,-0.0007454854880343291,0.3431180691454664
feat_ret_1:1:LONG:h6,SPOT,feat_ret_1,1,LONG,5,00000,0,"-0.000794,-0.001807,-0.002212,-0.000831,-0.002177","2791,2800,2862,3365,3325",15160,-0.0015630056624041423,2.4065194281774893e-12,False,6,3.5,4096,-0.0005859720797512478,True,False,5389,-0.0016606951265054734,0.3521989237335313,4582,-0.0008035978796732769,0.39218681798341337,5189,-0.002132124555915562,0.3175949123145115
