slice_id,kind,feature,state,side,n,mean_ret_costadj,median_ret_costadj,hit_rate,t_stat,p_value,bonferroni_pass,horizon_bars
feat_ret_10:2:SHORT,SPOT,feat_ret_10,2,SHORT,789,-0.002556908229748743,-0.002173115208170982,0.1964512040557668,-15.276205118012431,0.0,True,1
feat_ret_3:2:SHORT,SPOT,feat_ret_3,2,SHORT,900,-0.0025901739536467253,-0.0022534739800840736,0.18555555555555556,-15.450913211895966,0.0,True,1
feat_ret_1:2:SHORT,SPOT,feat_ret_1,2,SHORT,962,-0.0026467835441291512,-0.002251841816257259,0.17671517671517672,-16.485169356839364,0.0,True,1
feat_ret_5:2:SHORT,SPOT,feat_ret_5,2,SHORT,840,-0.002697145537346797,-0.002200732788002034,0.18452380952380953,-16.33903134425346,0.0,True,1
feat_ext_vs_ma_20:2:SHORT,SPOT,feat_ext_vs_ma_20,2,SHORT,692,-0.0028167206029601254,-0.0024074815850226843,0.18208092485549132,-14.822315314154514,0.0,True,1
feat_atr_norm_ext:2:SHORT,SPOT,feat_atr_norm_ext,2,SHORT,680,-0.0028788392311363507,-0.0025358698437514798,0.18235294117647058,-14.89378129284547,0.0,True,1
feat_ext_vs_ma_10:2:SHORT,SPOT,feat_ext_vs_ma_10,2,SHORT,838,-0.0029008662247201823,-0.0023252767924474265,0.16945107398568018,-16.844572724298516,0.0,True,1
feat_ext_vs_ma_50:2:SHORT,SPOT,feat_ext_vs_ma_50,2,SHORT,324,-0.0030740740838071027,-0.002392810480704997,0.17592592592592593,-11.14113532098372,0.0,True,1
feat_ret_1:0:SHORT,PERP,feat_ret_1,0,SHORT,211,-0.0016410383193886894,-0.0022810885510789556,0.24170616113744076,-3.2755597960509433,0.0010545278794469315,True,1
feat_ext_vs_ma_10:1:SHORT,PERP,feat_ext_vs_ma_10,1,SHORT,178,-0.0017750844348427123,-0.002369430835931727,0.24157303370786518,-3.561188761595635,0.0003691795470108783,True,1
feat_ret_5:0:SHORT,PERP,feat_ret_5,0,SHORT,219,-0.0019816514745359527,-0.002230139519592342,0.2511415525114155,-4.408721530439233,1.0398262269450953e-05,True,1
