slice_id,kind,feature,state,side,folds,walk_forward_pass_pattern,walk_forward_pass_count,fold_mean_rets,fold_sizes,n,mean_ret_costadj,p_value,validated,required_passes,latest_fold_passes,temporal_pass,direction_ok,breadth_ok,breadth_symbols_used,breadth_positive_fraction,recency_ok,mean_positive,side_train,fail_reasons,horizon_bars,stop_atr_mult,hostile_n,hostile_mean_ret,regime_confounded,hostile_unproven,session_asia_n,session_asia_mean_ret_costadj,session_asia_hit_rate,session_eu_n,session_eu_mean_ret_costadj,session_eu_hit_rate,session_us_n,session_us_mean_ret_costadj,session_us_hit_rate
hip3_hyna_index_c235:feat_ret_1:2:LONG:h1,PERP,feat_ret_1,2,LONG,5,00001,1,"-0.000948,-0.001740,-0.001008,-0.002474,0.001181","21,9,7,3,35",76,-0.00013763562863065997,0.5649598567865308,False,2,True,False,False,False,1,0.0,True,False,SHORT,"temporal_pass,direction_ok,breadth_ok,mean_net<=0",1,2.791928515318144,9,-0.00014968716280580615,False,True,23,-0.0033985584645077694,0.13043478260869565,27,0.0008593633143955665,0.18518518518518517,26,0.0017116818238103173,0.23076923076923078
hip3_hyna_index_c235:feat_ret_10:2:LONG:h1,PERP,feat_ret_10,2,LONG,5,00001,1,"-0.000325,-0.000633,-0.001096,-0.000964,0.000890","50,61,44,26,101",283,-0.00013874809210652435,0.29809875287877174,False,2,True,False,True,False,1,0.0,True,False,LONG,"temporal_pass,breadth_ok,regime_confounded,mean_net<=0",1,2.6814548162860032,39,-0.0006039101818344274,True,False,90,0.0001798944120172139,0.12222222222222222,93,-0.0004581146919232847,0.11827956989247312,100,-0.00012851540798830175,0.12
hip3_hyna_index_c235:feat_ret_5:2:LONG:h1,PERP,feat_ret_5,2,LONG,5,00001,1,"-0.001682,-0.000619,-0.001077,-0.002000,0.001533","53,38,27,16,87",223,-0.0001815109087852205,0.519769518039173,False,2,True,False,False,False,1,0.0,True,False,SHORT,"temporal_pass,direction_ok,breadth_ok,regime_confounded,mean_net<=0",1,2.824980361351136,28,-0.0011211619589568335,True,False,62,1.448718809891494e-05,0.12903225806451613,88,-0.0004007704824329996,0.11363636363636363,73,-8.366213516620512e-05,0.1232876712328767
hip3_hyna_index_c235:feat_ret_5:1:LONG:h1,PERP,feat_ret_5,1,LONG,5,01000,1,"-0.000799,0.000199,0.000000,0.000000,0.000000","43,57,0,0,0",101,-0.0002594032331552818,0.9260949871799473,False,2,False,False,True,False,1,0.0,False,False,LONG,"temporal_pass,breadth_ok,mean_net<=0",1,3.5,27,0.00031029443299942285,False,False,40,-0.0007971967499538081,0.075,27,0.0011598651834158885,0.1111111111111111,34,-0.0007537710736105927,0.058823529411764705
hip3_hyna_index_c235:feat_trend_slope_20:1:SHORT:h1,PERP,feat_trend_slope_20,1,SHORT,5,00010,1,"-0.000225,-0.001707,-0.000604,0.000428,0.002998","28,70,49,61,16",226,-0.00036889443189856843,0.9473283997572963,False,2,False,False,False,False,1,0.0,False,False,LONG,"temporal_pass,direction_ok,breadth_ok,mean_net<=0",1,3.5,28,0.0033364682043015527,False,False,78,5.6056132335037466e-05,0.10256410256410256,81,-0.0013945196398108893,0.04938271604938271,67,0.00037632195363391976,0.14925373134328357
hip3_hyna_index_c235:feat_atr_norm_ext:1:LONG:h1,PERP,feat_atr_norm_ext,1,LONG,5,00001,1,"0.000154,-0.000855,-0.000746,-0.001511,0.000214","19,27,20,26,62",155,-0.0004290992312748869,0.8416965566701855,False,2,True,False,True,False,1,0.0,True,False,LONG,"temporal_pass,breadth_ok,regime_confounded,mean_net<=0",1,2.2196326310348646,50,-0.0008405478472103204,True,False,50,-0.001077872881353871,0.1,58,0.00038614662552601865,0.13793103448275862,47,-0.0007449625757536806,0.0851063829787234
hip3_hyna_index_c235:feat_ret_10:0:LONG:h1,PERP,feat_ret_10,0,LONG,5,00001,1,"-0.001020,-0.000185,-0.000952,-0.000899,0.001790","80,32,45,47,37",244,-0.000448522852293164,0.840725275271575,False,2,True,False,True,False,1,0.0,True,False,LONG,"temporal_pass,breadth_ok,regime_confounded,mean_net<=0",1,2.271917874866216,89,-0.00044369148007290896,True,False,79,-0.0002165361305883155,0.11392405063291139,82,-0.00011404962094429027,0.13414634146341464,83,-0.0009997729244051003,0.0963855421686747
hip3_hyna_index_c235:feat_trend_slope_20:0:LONG:h1,PERP,feat_trend_slope_20,0,LONG,5,00001,1,"-0.000899,-0.000751,-0.001037,-0.000972,0.002754","88,25,53,64,32",264,-0.0004953874634689247,0.8823544981267466,False,2,True,False,True,False,1,0.0,True,False,LONG,"temporal_pass,breadth_ok,regime_confounded,mean_net<=0",1,1.5,99,-0.0007908674807845461,True,False,85,-0.0003047538529868507,0.08235294117647059,92,-0.00047056307536586054,0.09782608695652174,87,-0.0007078897691753409,0.10344827586206896
hip3_hyna_index_c235:feat_ext_vs_ma_10:0:LONG:h1,PERP,feat_ext_vs_ma_10,0,LONG,5,00001,1,"-0.000778,-0.000522,-0.000825,-0.000743,0.000554","68,23,42,37,39",211,-0.0005095450264784127,0.9748506333016025,False,2,True,False,True,False,1,0.0,True,False,LONG,"temporal_pass,breadth_ok,regime_confounded,mean_net<=0",1,1.500000000000031,67,-0.0004914879231910438,True,False,72,-0.0004627127652944602,0.1527777777777778,66,-0.0003238019546125463,0.10606060606060606,73,-0.0007236678422098068,0.1095890410958904
hip3_hyna_index_c235:feat_vol_regime:1:LONG:h1,PERP,feat_vol_regime,1,LONG,5,00001,1,"-0.001217,-0.000727,-0.000889,-0.001274,0.001468","47,41,42,64,49",244,-0.0005531015371076944,0.9677789478369232,False,2,True,False,False,False,1,0.0,True,False,SHORT,"temporal_pass,direction_ok,breadth_ok,regime_confounded,mean_net<=0",1,1.5,73,-0.0006036319413788777,True,False,73,-0.0005813908439688776,0.0684931506849315,68,-8.087087872703317e-05,0.10294117647058823,103,-0.0008448157639913701,0.06796116504854369
hip3_hyna_index_c235:feat_ext_vs_ma_20:0:LONG:h1,PERP,feat_ext_vs_ma_20,0,LONG,5,00001,1,"-0.001016,-0.000508,-0.000931,-0.001020,0.002459","76,24,58,56,26",241,-0.0005710704891900418,0.5366935789919356,False,2,True,False,True,False,1,0.0,True,False,LONG,"temporal_pass,breadth_ok,regime_confounded,mean_net<=0",1,1.5279797979798202,91,-0.0008117779499563377,True,False,88,-0.0007645534981568114,0.10227272727272728,82,-0.0002680312418420827,0.10975609756097561,71,-0.0006812495524781677,0.11267605633802817
hip3_hyna_index_c235:feat_ret_1:0:LONG:h1,PERP,feat_ret_1,0,LONG,5,00001,1,"-0.000954,-0.000491,-0.001104,-0.001437,0.001385","137,150,152,156,124",722,-0.0005922600868284279,0.588828275058848,False,2,True,False,True,False,1,0.0,True,False,LONG,"temporal_pass,breadth_ok,regime_confounded,mean_net<=0",1,2.4025649794801636,202,-0.0009135754209456671,True,False,247,-0.00043164435548421494,0.08097165991902834,237,-0.000391029264733352,0.08438818565400844,238,-0.0009593348367383168,0.06722689075630252
hip3_hyna_index_c235:feat_atr_norm_ext:0:LONG:h1,PERP,feat_atr_norm_ext,0,LONG,5,00000,0,"-0.001202,-0.000537,-0.000760,-0.000733,0.004305","67,34,57,48,7",214,-0.0006922619402225442,0.3119493118647223,False,2,False,False,False,False,1,0.0,False,False,SHORT,"temporal_pass,direction_ok,breadth_ok,regime_confounded,mean_net<=0",1,2.0398049645389373,90,-0.0006166581612258502,True,False,77,-5.154816123436381e-05,0.1038961038961039,69,-0.0008363645800967852,0.07246376811594203,68,-0.0012715542759691213,0.04411764705882353
hip3_hyna_index_c235:feat_vol_regime:0:SHORT:h1,PERP,feat_vol_regime,0,SHORT,5,00010,1,"-0.000451,-0.001211,-0.000688,0.000124,-0.000979","68,71,54,37,38",269,-0.0006966505118432539,0.5154793664902495,False,2,False,False,True,False,1,0.0,False,False,SHORT,"temporal_pass,breadth_ok,mean_net<=0",1,3.5,51,0.0016324455999587306,False,False,103,3.242343305178124e-05,0.1262135922330097,99,-0.0019972966120716715,0.0707070707070707,67,0.00010438452693920456,0.1044776119402985
hip3_hyna_index_c235:feat_trend_strength_20:0:SHORT:h1,PERP,feat_trend_strength_20,0,SHORT,5,00010,1,"-0.000277,-0.002067,-0.000471,0.000214,-0.000508","18,42,33,34,55",183,-0.0007048860433710036,0.5538019749324703,False,2,False,False,False,False,1,0.0,False,False,LONG,"temporal_pass,direction_ok,breadth_ok,mean_net<=0",1,3.3684210526315903,52,0.0021228387278756093,False,False,59,0.00012049743860744804,0.13559322033898305,59,-0.002585086957590058,0.0847457627118644,65,0.00025256362589354324,0.12307692307692308
hip3_hyna_index_c235:feat_ret_20:0:LONG:h1,PERP,feat_ret_20,0,LONG,5,00001,1,"-0.001033,-0.000659,-0.000970,-0.001047,0.001397","80,33,56,84,29",284,-0.0007330528731495229,0.12711489739759219,False,2,True,False,True,False,1,0.0,True,False,LONG,"temporal_pass,breadth_ok,regime_confounded,mean_net<=0",1,1.5,110,-0.0009377951608356699,True,False,100,-0.000635703566232314,0.08,85,-0.0006964744347485972,0.07058823529411765,99,-0.0008627912363394179,0.0707070707070707
hip3_hyna_index_c235:feat_trend_strength_20:1:SHORT:h1,PERP,feat_trend_strength_20,1,SHORT,5,00000,0,"-0.000775,-0.000729,-0.001077,-0.000080,-0.001865","48,45,51,66,26",237,-0.0007581213257312301,0.15203097345976513,False,2,False,False,True,False,1,0.0,False,False,SHORT,"temporal_pass,breadth_ok,regime_confounded,mean_net<=0",1,1.5,38,-0.0011092065492680455,True,False,77,-0.0005227667062960781,0.07792207792207792,89,-0.0010874363803040855,0.06741573033707865,71,-0.0006005616896681687,0.08450704225352113
hip3_hyna_index_c235:feat_ext_vs_ma_20:1:SHORT:h1,PERP,feat_ext_vs_ma_20,1,SHORT,5,00010,1,"-0.000091,-0.001354,-0.000653,0.000175,-0.004059","29,70,55,67,14",236,-0.0007599996906793629,0.41333748903509493,False,2,False,False,True,False,1,0.0,False,False,SHORT,"temporal_pass,breadth_ok,mean_net<=0",1,3.5,23,0.0006146865386699311,False,False,81,0.00028802641759155745,0.1111111111111111,85,-0.0020493589161685154,0.047058823529411764,70,-0.00040706512787031413,0.08571428571428572
hip3_hyna_index_c235:feat_ext_vs_ma_10:1:SHORT:h1,PERP,feat_ext_vs_ma_10,1,SHORT,5,10000,1,"0.000255,-0.001279,-0.000694,-0.000189,-0.004002","38,77,79,93,19",307,-0.0007760952670821985,0.2234276122389014,False,2,False,False,True,False,1,0.0,False,False,SHORT,"temporal_pass,breadth_ok,regime_confounded,mean_net<=0",1,2.2953488372093154,22,-0.00036549444969282053,True,False,109,-0.000296448705673673,0.08256880733944955,104,-0.0012174283520480682,0.09615384615384616,94,-0.0008439977602426116,0.05319148936170213
