as_of,coin,dex,market_class,requested_bars,received_bars,first_bar,last_bar,max_gap_seconds,coverage_ok,error
2026-08-25T01:40:27.681020+00:00,xyz:SKHX,xyz,equity,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,xyz:SNDK,xyz,equity,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,xyz:XYZ100,xyz,index,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,xyz:SP500,xyz,index,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,xyz:MU,xyz,equity,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,xyz:DRAM,xyz,equity,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,xyz:SPCX,xyz,equity,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,xyz:GOOGL,xyz,equity,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,xyz:SKHY,xyz,equity,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,xyz:CL,xyz,commodity,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,xyz:SILVER,xyz,commodity,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,xyz:SMSN,xyz,equity,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,xyz:NVDA,xyz,equity,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,xyz:GOLD,xyz,commodity,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,xyz:BRENTOIL,xyz,commodity,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,xyz:CRCL,xyz,equity,1000,1000,2026-07-14T10:00:00+00:00,2026-08-25T01:00:00+00:00,3600,True,
2026-08-25T01:40:27.681020+00:00,io:SNDK,io,provisional_equity,1000,132,2026-08-19T14:00:00+00:00,2026-08-25T01:00:00+00:00,3600,False,insufficient_or_gapped_history
