intensity,risk_cap_fraction,old_cap,fat_cap,total_native,hip3_seats,total_cap,kind_cap,med_all10_day,med_native_rts,med_hip3_rts,med_min_slice_rts,med_peak_risk,sum_seat_denials,sum_risk_denials
196.8,0.05,12,10,22,0,24,15,10.69,627.5,0.0,46.5,90.0,2511863,0
196.8,0.07,12,10,22,0,24,15,10.81,633.5,0.0,46.0,90.0,2510497,0
196.8,0.05,12,10,22,2,24,15,10.96,626.5,103.5,46.0,90.0,2450358,0
196.8,0.07,12,10,22,2,24,15,10.9,626.5,102.5,45.5,90.0,2449879,0
196.8,0.05,12,10,22,4,24,15,11.15,611.0,168.5,45.0,90.0,2413911,0
196.8,0.07,12,10,22,4,24,15,11.17,610.0,170.0,44.0,90.0,2414668,0
196.8,0.05,12,10,22,6,24,15,11.27,603.5,179.0,44.5,90.0,2411031,0
196.8,0.07,12,10,22,6,24,15,11.5,602.0,178.0,44.0,90.0,2411323,0
