intensity,risk_cap_fraction,old_cap,fat_cap,total_native,hip3_seats,total_cap,kind_cap,med_all10_day,med_native_rts,med_hip3_rts,med_min_slice_rts,med_peak_risk,sum_seat_denials,sum_risk_denials
196.8,0.05,12,10,22,0,30,30,9.94,636.5,0.0,46.0,104.98,2480451,24386
196.8,0.07,12,10,22,0,30,30,9.62,640.5,0.0,47.0,132.0,2506624,0
196.8,0.05,12,10,22,2,30,30,10.29,633.0,104.0,46.0,104.98,2414014,31863
196.8,0.07,12,10,22,2,30,30,10.79,638.0,103.0,46.5,144.0,2445234,0
196.8,0.05,12,10,22,4,30,30,10.17,627.0,205.0,47.0,104.98,2338320,49871
196.8,0.07,12,10,22,4,30,30,10.56,633.5,207.0,48.0,146.9,2377977,5064
196.8,0.05,12,10,22,6,30,30,10.83,630.0,304.0,46.0,104.98,2227578,101726
196.8,0.07,12,10,22,6,30,30,10.6,638.0,312.0,46.5,146.98,2307273,13282
